source,destination,status
"https://www.generation-ai-stn.fi/hankkeen-toiminta/uusi-tyokalut-ja-materiaalit-integroiva-sivusto/","/hankkeen-toiminta/uusi-tyokalut-ja-materiaalit-integroiva-sivusto/",301
"https://www.generation-ai-stn.fi/ajankohtaista/generation-ai-educa2025-tapahtumassa/","/ajankohtaista/generation-ai-educa2025-tapahtumassa/",301
"https://www.generation-ai-stn.fi/ajankohtaista/lasten-ja-nuorten-tekoalylukutaitoa-edistava-generation-ai-hanke-on-voittanut-vuoden-2025-kansallisen-vuoden-avoin-oppimateriaali-palkinnon/","/ajankohtaista/lasten-ja-nuorten-tekoalylukutaitoa-edistava-generation-ai-hanke-on-voittanut-vuoden-2025-kansallisen-vuoden-avoin-oppimateriaali-palkinnon/",301
"https://www.generation-ai-stn.fi/ajankohtaista/generation-ai-itk2025-tapahtumassa/","/ajankohtaista/generation-ai-itk2025-tapahtumassa/",301
"https://www.generation-ai-stn.fi/ajankohtaista/yle-uutispodcast-deepseek-sanoo-olevansa-kilpailijoitaan-tehokkaampi-onko-vaitteissa-peraa/","/ajankohtaista/yle-uutispodcast-deepseek-sanoo-olevansa-kilpailijoitaan-tehokkaampi-onko-vaitteissa-peraa/",301
"https://www.generation-ai-stn.fi/ajankohtaista/yle-ykkosaamu-haastateltavana-prof-roos/","/ajankohtaista/yle-ykkosaamu-haastateltavana-prof-roos/",301
"https://www.generation-ai-stn.fi/ajankohtaista/yle-tekoalyn-kehittyminen-on-ennakoitua-nopeampaa/","/ajankohtaista/yle-tekoalyn-kehittyminen-on-ennakoitua-nopeampaa/",301
"https://www.generation-ai-stn.fi/ajankohtaista/generation-ai-hanke-mukana-educa25-tapahtumassa/","/ajankohtaista/generation-ai-hanke-mukana-educa25-tapahtumassa/",301
"https://www.generation-ai-stn.fi/hankkeen-toiminta/somekone-2-0-on-julkaistu/","/hankkeen-toiminta/somekone-2-0-on-julkaistu/",301
"https://www.generation-ai-stn.fi/hankkeen-toiminta/opetettava-kone-sai-xai-tyokalun-nyt-naet-reaaliaikaisesti-kuinka-tekoaly-luokittelee-kuvan/","/hankkeen-toiminta/opetettava-kone-sai-xai-tyokalun-nyt-naet-reaaliaikaisesti-kuinka-tekoaly-luokittelee-kuvan/",301
"https://www.generation-ai-stn.fi/tutkimus/julkaisu-datafikoituva-peruskoulu-tasapainoilua-lapsen-henkilotietojen-suojan-ja-opetuksen-tavoitteiden-valilla/","/tutkimus/julkaisu-datafikoituva-peruskoulu-tasapainoilua-lapsen-henkilotietojen-suojan-ja-opetuksen-tavoitteiden-valilla/",301
"https://www.generation-ai-stn.fi/ajankohtaista/suuri-nobel-keskustelu-24-10-2024/","/ajankohtaista/suuri-nobel-keskustelu-24-10-2024/",301
"https://www.generation-ai-stn.fi/ajankohtaista/puhetta-tekoalysta-ita-suomen-aluehallintoviraston-rehtori-ja-johtajuuspaivilla-2024/","/ajankohtaista/puhetta-tekoalysta-ita-suomen-aluehallintoviraston-rehtori-ja-johtajuuspaivilla-2024/",301
"https://www.generation-ai-stn.fi/tutkimus/icalt2024-paras-julkaisu-a-no-code-ai-education-tool-for-learning-ai-in-k-12-by-making-machine-learning-driven-apps/","/tutkimus/icalt2024-paras-julkaisu-a-no-code-ai-education-tool-for-learning-ai-in-k-12-by-making-machine-learning-driven-apps/",301
"https://www.generation-ai-stn.fi/ajankohtaista/ita-savo-kerimaen-koulussa-tekoalya-kaytetaan-jo-osana-opetusta-tavoitteena-oma-ajattelu-ja-sisallon-ymmartaminen/","/ajankohtaista/ita-savo-kerimaen-koulussa-tekoalya-kaytetaan-jo-osana-opetusta-tavoitteena-oma-ajattelu-ja-sisallon-ymmartaminen/",301
"https://www.generation-ai-stn.fi/ajankohtaista/waie-monthly-ai-expert-webinar-series/","/ajankohtaista/waie-monthly-ai-expert-webinar-series/",301
"https://www.generation-ai-stn.fi/ajankohtaista/susanna-lindroos-hovinheimo-minkalainen-tekoalyasetuksesta-tuli-perustuslakiblogi/","/ajankohtaista/susanna-lindroos-hovinheimo-minkalainen-tekoalyasetuksesta-tuli-perustuslakiblogi/",301
"https://www.generation-ai-stn.fi/ajankohtaista/mtv3-nain-ylakoululaiset-jo-kayttavat-chatgptta-tekoaly-halutaan-vahvemmin-osaksi-opetusta/","/ajankohtaista/mtv3-nain-ylakoululaiset-jo-kayttavat-chatgptta-tekoaly-halutaan-vahvemmin-osaksi-opetusta/",301
"https://www.generation-ai-stn.fi/ajankohtaista/digital-futures-for-education-explores-ais-impact-on-university-teaching-and-learning/","/ajankohtaista/digital-futures-for-education-explores-ais-impact-on-university-teaching-and-learning/",301
